"row","quality_of_class","difficulty_of_class","class_code","college","prof_firstname","prof_lastname","comment","out_misrep","out_emo_lang","out_ideo_extrem","out_slip_slope","out_insult","out_mock_sarc","out_threat","pa_dress","pa_appear","pa_attit","pa_interact","pa_humor","pa_other","pb_sex","pb_lgbtq","pb_race","pb_origin","pb_nuero_div","pb_phys_able","pb_pol_affil","complex","constructive","reflective","outrage_agg","personal_attack_agg","prejudice_agg"
1,5,3,"PUBHLTH6001","OHIO STATE UNIVERSITY","REBECCA","ANDRIDGE","My favorite professor to learn from in 6 years at OSU. The lectures are so clear, so well thought out. The organization of the courses is fantastic. It does involve a good amount of work, but I never felt it was a waste of time or busy work. She makes me regret not choosing epidemiology or biostats as my focus for grad school.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2,5,3,"PUBHLTH6001","OHIO STATE UNIVERSITY","REBECCA","ANDRIDGE","My favorite professor to learn from in 6 years at Ohio State (undergrad + grad school). Her lectures are so clear, her organization is unbeatable, and I genuinely came away from this class feeling confident in everything she taught me. Makes me regret not doing epidemiology. There is a lot of work with the course, but nothing you don't learn from.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,5,3,"PUBHLTH6001","OHIO STATE UNIVERSITY","REBECCA","ANDRIDGE","My experience with Dr. was very positive. I really appreciate how she teaches (you do a weekly lab and quizzes and assignments ) so you get plenty of practice before exams. She will also take time to explain concepts and make sure that you understand it by the end of her explanation. I would highly recommend taking any course with her.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
4,1,4,"PUBHLTH6001","OHIO STATE UNIVERSITY","REBECCA","ANDRIDGE","Dr.  is a very difficult professor to work with and does not respect her students. When difficult situations arise in the classroom she's been shown to handle them extremely unfairly and without respect and careful consideration. If you're looking for fair treatment and respect from your professor I would not recommend Dr. .",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
5,5,4,"PUBHLTH6001","OHIO STATE UNIVERSITY","REBECCA","ANDRIDGE","She is a great professor; gives extremely good feedback. If you work for it, you can easily get an A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,5,2,"POLISCI","OHIO STATE UNIVERSITY","WILLIAM","ANGEL","Dr.  is the Best. Recommend his American Presidency class!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,2,"POLISCI101","OHIO STATE UNIVERSITY","WILLIAM","ANGEL","Dr.  is extremely considerate and thorough. You know exactly what is going to happen and when it will happen. I knew when I signed up for his class that I would need to miss some days of class and he was very helpful in allowing me to make up missed work and assignments prior to leaving. Anything on tests/quizzes are discussed in class.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
3,4,3,"POLI101","OHIO STATE UNIVERSITY","WILLIAM","ANGEL","I liked taking his class but I have to say it's quite repetitive. Yeah you learn a lot but it's super boring sometimes. You can easily pass the class with an A by just using sparknotes and not reading the 2 hours of homework he wants you to do by the next lecture. But he is very knowledgeable and friendly I liked him overall just kinda boring.",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
4,5,4,"POLI101","OHIO STATE UNIVERSITY","WILLIAM","ANGEL","LOVE LOVE LOVED this class. Dr.  has the ability to show his students how politics really works, and he does it with absolutely no bias. I took this class thinking that I knew how our government works, and I left the class with a genuine understanding of it. I recommend this class to EVERYONE at OSU Lima, whether it is a requirement or not.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4.5,3,"POLI101","OHIO STATE UNIVERSITY","WILLIAM","ANGEL","Very knowledgable and helpful. His class requires a lot of reading but it is not hard material.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4.5,3,"POLSC101","OHIO STATE UNIVERSITY","WILLIAM","ANGEL","great instruction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4.5,4,"POL100H","OHIO STATE UNIVERSITY","WILLIAM","ANGEL","I took his honors poli sci class and it was great. He is very very interested in teaching and def knows what he is talking about. group work helps a lot with class discussion and he hands everything back with a lot of feed back. a great teacher with a lot of experiance, including his own politics book that we worked with in class, def. take him!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
8,3.5,3,"PS100","OHIO STATE UNIVERSITY","WILLIAM","ANGEL","Really knows his stuff and interested in teaching. Don't take his class early in the day though, his voice will put you to sleep fast.",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
9,5,3,"POLIT101","OHIO STATE UNIVERSITY","WILLIAM","ANGEL","Great professor, Dr.  is very helpful outside of class. His lectures are very clear, and we did a lot of group work also. The group work really helped with the lectures. Make sure you read the books, because they will help you, especially on the exams. I would highly suggest taking him, he is a great professor, and the class was really good.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5,3,"POLIT101","OHIO STATE UNIVERSITY","WILLIAM","ANGEL","I actually took this class a couple years ago, but never did this.  is a great prof and a good lecturer. Hes very passionate about the subject and that rubs off on his students. Definitely recommend this class for your GEC requirements.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,4,"POLISCI","OHIO STATE UNIVERSITY","WILLIAM","ANGEL","No Comments",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,5,1,"POLISCI","OHIO STATE UNIVERSITY","WILLIAM","ANGEL","No Comments",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4,3,"POLISCI101","OHIO STATE UNIVERSITY","WILLIAM","ANGEL","interesting - but monotonic...",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
14,4,4,"POLI165","OHIO STATE UNIVERSITY","WILLIAM","ANGEL","Genuinely interested in teaching. A lot of class discussion; really made the class more about the students and less about himself.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,4,3,"PUBHBIO2210","OHIO STATE UNIVERSITY","KELLIE","ARCHER","Dr.  is very kind and makes an effort to get to know all of the students. She's very interested in helping students, and the class is easy enough if you do all the assignments. There are online lectures weekly that are used for the quizzes, and a final poster project that builds throughout the semester. I would recommend taking Dr. .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3.5,5,"H508","OHIO STATE UNIVERSITY","HAL","ARKES","Dr.  was a very good professor. I really had no interest in judgement and decision making before I entered his classroom but now I have a new understanding and respect for the subject matter. The only complaints that I would have would be we did not have a textbook which made things hard. The class is clenging but very interesting.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2,5,4,"PSYCHH508","OHIO STATE UNIVERSITY","HAL","ARKES","Very respectful of everyone's questions and comments, makes the topic very interesting. I thought the class would be dull but it actually changed my life! I strongly recommend it.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,4,"PSYCHH508","OHIO STATE UNIVERSITY","HAL","ARKES","This is a very interesting class. I definitely learned a lot, but this is also a difficult class. It takes a lot of work, but it's well worth it.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,5,"PSY508","OHIO STATE UNIVERSITY","HAL","ARKES","Simply awesome - best professor I ever had.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,3,"PSYCH508","OHIO STATE UNIVERSITY","HAL","ARKES","He's a GREAT teacher, but watch out for the paper at the end of the class. I had to take a LOT of time to research for it. He's a great teacher and it's a great class but don't get lazy!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,5,3,"PSYCH508","OHIO STATE UNIVERSITY","HAL","ARKES"," is a great guy, he went out of his way to help me find an article that I needed for my research paper.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,4.5,3,"PSYCH508","OHIO STATE UNIVERSITY","HAL","ARKES","Definitely keeps the lectures interesting. The readings correlate well with the lectures. I thoroughly enjoyed this class and thought he was really nice.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1.5,4,"PSYCH508","OHIO STATE UNIVERSITY","HAL","ARKES","No Comments",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4,3,"PSYCH508","OHIO STATE UNIVERSITY","HAL","ARKES","Very good teacher! My favorite psych class I've taken for the past 4 years. The only hard part is that there is a big paper at the end and a cumulative final, but there are many small assigments along the way for the paper so you can't get behind.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,3,3,"508","OHIO STATE UNIVERSITY","HAL","ARKES","He does know his stuff but do not get on his bad side. If you do he will undermine you in a passive aggressive way.",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
11,5,3,"PSYCH508","OHIO STATE UNIVERSITY","HAL","ARKES","Course material is difficult, but he makes it understandable and interesting. Very helpful. Liberal grader and very fair. Big paper, but you pick the topic. Definitely would take him again...brilliant.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,3,"POL4162","OHIO STATE UNIVERSITY","HERB","ASHER","Show up, pay attention, the lectures are in depth but you will learn so much from him. When working on the paper, go to him he will you the feedback you need to pass. He is a great teacher.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,3,"POLSC506","OHIO STATE UNIVERSITY","HERB","ASHER"," is really one of the best at OSU. His tests are tough but fair, the paper is easy if you follow his instructions and go to him for help, and the reading isn't really necessary. The guy is absolutely brilliant and knows an unbelievable amount about OH politics, you will learn a ton!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4.5,3,"PS506","OHIO STATE UNIVERSITY","HERB","ASHER","Having your Ohio Politics class taught by Presdident Gee's Senior Political Advisor is pretty darn awesome! Definitely attend lectures, as  has plenty of insightful stories and experience on the subject matter. A TON of reading, but most was relevant and helpful on exams. Attendance, studying and reading are all necessary for an A!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,2,"PS502","OHIO STATE UNIVERSITY","HERB","ASHER","Prof  is a very good lecturer. The class is a typical poli sci class, with two midterms that are essay based. Recitation is used to explore interesting topics. Also, there is a requirement to volunteer for a campaign 6-10 hours a week, with a paper due at the end of the quarter. Would definitely recommend prof .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,1,"PS502","OHIO STATE UNIVERSITY","HERB","ASHER","Excellent. His lectures are very interesting, and he is really laid-back. You have to work for six hours per week with a campaign of your choice and write an essay about it. Do not buy the textbooks; you will never even look at them.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4.5,4,"PS506","OHIO STATE UNIVERSITY","HERB","ASHER","I thought Dr. 's Ohio Politics class was outstanding. He's the best professor I've had at the university thusfar. And no, it's not impossible to get an A in his class.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,2,"POLI502","OHIO STATE UNIVERSITY","HERB","ASHER","Great Prof!! Very entertaining, and very personable. He's biased, and doesn't try to hide it, but will like you no matter your opinions as long as you share your opinions. We barely used the textbooks, and the exams weren't bad if you paid attention in class. I learned a lot in this class!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3.5,2,"PS502","OHIO STATE UNIVERSITY","HERB","ASHER","Independents and third-party supporters beware: this guy often confuses facts with opinions, whether or not his students realize it. He is quite biased against certain candidates and parties, yet some of the things he says contradict with his own biased statements-- apparently not enough to get him to change his mind.. What a letdown.",1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,2
9,3,3,"PS506","OHIO STATE UNIVERSITY","HERB","ASHER","LOVED his class. Learned so much! He made it interesting by actually ""talking"" to the class and not lecturing in a monotone class. He has a sense of humor about things,but if ur not a ""favorite"" don't expect to be called on. My favorite PS class ever.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,5,1,"PS506","OHIO STATE UNIVERSITY","HERB","ASHER","Dr.  is a wonderful professor. No political science degree is complete without taking his classes. Lectures were interesting, and I learned a great deal from him.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3.5,2,"PS506","OHIO STATE UNIVERSITY","HERB","ASHER","Great lectures, you will learn a good deal about Ohio Politics.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,1,"PS502","OHIO STATE UNIVERSITY","HERB","ASHER","Good prof... easy class didn't buy the books and go an A. Just show up and you'll be fine.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,5,2,"POLI502","OHIO STATE UNIVERSITY","HERB","ASHER","Great class. If you are actually a PoliSci major this is a great class and you will learn a lot. This is a high level class so no, he is not going to hold your hand and give you outlines and essay questions but it is stupid to presume that an instructor should do so. It's called college, not high school. Overall, a good class with lots of info.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4.5,2,"POL502","OHIO STATE UNIVERSITY","HERB","ASHER","Really, great guy, great class. Those claiming he is biased are absolutely ridiculous, you can be conservative as you want and the guy is respectful. Easy, fun, and informative. Take him if you can.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4.5,3,"POLSC506","OHIO STATE UNIVERSITY","HERB","ASHER","  is the best professor at OSU! His lectures are interesting, informative, and full of relevant anecdotes. He loves what he teaches and he cares for his students. If you get to know him, he will make a great mentor and will take the time to meet with you and offer advice to you. I always looked forward to going to his classes!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,3,3,"POLI502","OHIO STATE UNIVERSITY","HERB","ASHER","decent professor and a funny guy, although you don't really learn a lot in his class. exams are not fun at all, since he doesn't provide an outline of terms or anything to that extent in the way of preperation. overall it's not that difficult of a class, just be prepared to spend time working outside of class doing volunteering, surveys, etc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
17,3,3,"PS506","OHIO STATE UNIVERSITY","HERB","ASHER","Do not even bother unless you are a democrat. Very Very liberal. Biggest name dropper in the world. Who the hell cares who Vern Riffe is, I sure don't. HAVE FUN!!!!",1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,2
18,5,3,"POLS506","OHIO STATE UNIVERSITY","HERB","ASHER","Excellent professor! If you want to learn about Ohio and her politics, there is no better professor to have than  ; itâ€™s definitely a class that you don't want to miss! His lectures are always informative, relevant and never boring. On a separate note, I read one of his books for another class (Polling and the Public: What Every Citize",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,5,3,"POLITSC502","OHIO STATE UNIVERSITY","HERB","ASHER","Straight forward class: midterm, final, and paper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,3.5,3,"OHIOPOLITICS","OHIO STATE UNIVERSITY","HERB","ASHER","Good lectures. Go to class in order to do well on the tests. Grades papers slightly hard. Knows his Ohio policitcs quite well.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,2,"SOCIOL1101","OHIO STATE UNIVERSITY","JEREMY","BAKER","Prof.  is the most grounded and personable professor I've ever had. I have ADHD and I can confidently say that his lectures are amazingly engaging, I've never been bored in his class. He exudes so much passion through his lectures that it's frankly hard to not do well in his class. Overall, one of the best learning experiences in my life.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,5,3,"SOCIOL1101","OHIO STATE UNIVERSITY","JEREMY","BAKER","I had Professor  twice for 2 different classes, 1101 and 3460. Both times he was very enjoyable to have. He is very knowledgeable about the material that is given and the classes were both very interesting but you need to come to class and be ready to learn. Highly recommend having him.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,4,"PUBHHBP7542","OHIO STATE UNIVERSITY","GIA","BARBOZA-SALERNO","I loved this class with . They are so enthusiastic and have so much experience to share. There is a good amount of reading that I struggled to keep up with but it rarely impacted my ability to participate. Participating in their class is so thought-provoking and you can really get a lot out of it.  will challenge you, and it rocks!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
2,5,4,"PUBHHBP7542","OHIO STATE UNIVERSITY","GIA","BARBOZA-SALERNO"," is one of those professors I will never forget. Not only are they well educated in the topic they are lecturing on, but it is very apparent that they are passionate about it as well. Their lectures are very fast paced, but that just further illustrates that they love what they do. I would take them again in a heart beat!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,3,"ENR5273","OHIO STATE UNIVERSITY","NICHOLAS","BASTA","Dr.  is a true asset to Ohio State. His lectures are interesting. He has a great sense of humor, enjoys teaching, and his experience outside of the classroom really helps you apply what your learning. Show up for class, make note cards of the lectures, and you'll get an A. He assigned 3 math oriented assignments and 15 half page briefs.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4.5,3,"ENR5262","OHIO STATE UNIVERSITY","NICHOLAS","BASTA","Dr.  is an excellent professor. He seems to genuinely enjoy teaching. His lectures are interesting. I would absolutely take him again. The tests are taken directly from the lecture notes. There is a little bit of math involved in the class but this is to be expected from a chemistry class. Understand logarithms. He's funny and cares.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4.5,3,"ENR5262","OHIO STATE UNIVERSITY","NICHOLAS","BASTA","Dr.  is a great guy. His soil chemistry class is a difficult class, but if you come to class everyday and engage with him during lecture you will be fine. Visit him during office hours if you ever have questions and he will help you out and ease any fear you may have.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,1,"ENR675","OHIO STATE UNIVERSITY","NICHOLAS","BASTA","Great guy. Very clear and easy to understand.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,4,"4138","OHIO STATE UNIVERSITY","LAWRENCE","BAUM","Professor  was amazing. If you are seriously considering law school, I definitely recommend taking one of his classes. The entire class is very lecture and exam heavy, but if you truly engage in class and with the material, you will do just fine. I learned more in this class than I learned in any other political science classes combined.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,4,"43136","OHIO STATE UNIVERSITY","LAWRENCE","BAUM"," is a great guy and the best professor in this department. I have taken his two classes and I can say they will humble you. Not an easy A at all. Go for every class and write down every word he says. Highly recommend if you see law school in your future. It is very likely you will not get an A in this class. If that matters to you skip this",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,4,"4132H","OHIO STATE UNIVERSITY","LAWRENCE","BAUM","Great guy. Loved 4136 with him, so I took this class. Anyone with any interest in the Supreme Court should take him; you will learn so much. This class wasn't as good; I'd already learned about a lot of material in his other course. Still valuable research and writing skills. He provides copious guidelines for the paper. Do that and you'll be ok.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
